Token,Lemma,POS,Dep,Head_Lemma,Is_Stop,Is_Alpha,Is_Dialogue,Sentence_ID,Token_Index
may,may,AUX,aux,be,True,True,False,3,40
be,be,AUX,advcl,fixed,True,True,False,3,41
on,on,ADP,prep,be,True,True,False,3,42
his,his,PRON,nsubj,enter,True,True,False,3,43
first,first,ADV,advmod,enter,True,True,False,3,44
entering,enter,VERB,pcomp,on,False,True,False,3,45
a,a,DET,det,neighbourhood,True,True,False,3,46
neighbourhood,neighbourhood,NOUN,dobj,enter,False,True,False,3,47
",",",",PUNCT,punct,fixed,False,False,False,3,48
this,this,DET,det,truth,True,True,False,3,49
truth,truth,NOUN,nsubjpass,fixed,False,True,False,3,50
is,be,AUX,auxpass,fixed,True,True,False,3,51
so,so,ADV,advmod,well,True,True,False,3,52
well,well,ADV,advmod,fixed,True,True,False,3,53
fixed,fixed,ADJ,ROOT,fixed,False,True,False,3,54
in,in,ADP,prep,fixed,True,True,False,3,55
the,the,DET,det,mind,True,True,False,3,56
minds,mind,NOUN,pobj,in,False,True,False,3,57
of,of,ADP,prep,mind,True,True,False,3,58
the,the,DET,det,family,True,True,False,3,59
surrounding,surround,VERB,amod,family,False,True,False,3,60
families,family,NOUN,pobj,of,False,True,False,3,61
",",",",PUNCT,punct,fixed,False,False,False,3,62
that,that,SCONJ,mark,consider,True,True,False,3,63
he,he,PRON,nsubjpass,consider,True,True,False,3,64
is,be,AUX,auxpass,consider,True,True,False,3,65
considered,consider,VERB,ccomp,fixed,False,True,False,3,66
as,as,ADP,prep,consider,True,True,False,3,67
the,the,DET,det,property,True,True,False,3,68
rightful,rightful,ADJ,amod,property,False,True,False,3,69
property,property,NOUN,pobj,as,False,True,False,3,70
of,of,ADP,prep,property,True,True,False,3,71
some,some,DET,det,one,True,True,False,3,72
one,one,NUM,pobj,of,True,True,False,3,73
or,or,CCONJ,cc,one,True,True,False,3,74
other,other,ADJ,conj,one,True,True,False,3,75
of,of,ADP,prep,one,True,True,False,3,76
their,their,PRON,poss,daughter,True,True,False,3,77
daughters,daughter,NOUN,pobj,of,False,True,False,3,78
.,.,PUNCT,punct,fixed,False,False,False,3,79
“,"""",PUNCT,punct,hear,False,False,True,4,80
My,my,PRON,poss,bennet,True,True,True,4,81
dear,dear,ADJ,amod,bennet,False,True,True,4,82
Mr.,mr.,PROPN,compound,bennet,False,False,True,4,83
Bennet,bennet,PROPN,npadvmod,hear,False,True,True,4,84
",",",",PUNCT,punct,say,False,False,True,4,85
”,"""",PUNCT,punct,say,False,False,True,4,86
said,say,VERB,parataxis,hear,False,True,False,4,87
his,his,PRON,poss,lady,True,True,False,4,88
lady,lady,NOUN,nsubj,say,False,True,False,4,89
to,to,ADP,prep,say,True,True,False,4,90
him,he,PRON,pobj,to,True,True,False,4,91
one,one,NUM,nummod,day,True,True,False,4,92
day,day,NOUN,npadvmod,say,False,True,False,4,93
",",",",PUNCT,punct,say,False,False,False,4,94
“,"""",PUNCT,punct,say,False,False,True,4,95
have,have,AUX,aux,hear,True,True,True,4,96
you,you,PRON,nsubj,hear,True,True,True,4,97
heard,hear,VERB,ROOT,hear,False,True,True,4,98
that,that,SCONJ,mark,let,True,True,True,4,99
Netherfield,netherfield,PROPN,compound,park,False,True,True,4,100
Park,park,PROPN,nsubjpass,let,False,True,True,4,101
is,be,AUX,auxpass,let,True,True,True,4,102
let,let,VERB,ccomp,hear,False,True,True,4,103
at,at,ADP,prep,let,True,True,True,4,104
last,last,ADV,pcomp,at,True,True,True,4,105
?,?,PUNCT,punct,hear,False,False,True,4,106
”,"""",PUNCT,punct,hear,False,False,True,4,107
Mr.,mr.,PROPN,compound,bennet,False,False,False,5,108
Bennet,bennet,PROPN,nsubj,reply,False,True,False,5,109
replied,reply,VERB,ROOT,reply,False,True,False,5,110
that,that,SCONJ,mark,have,True,True,False,5,111
he,he,PRON,nsubj,have,True,True,False,5,112
had,have,VERB,ccomp,reply,True,True,False,5,113
not,not,PART,neg,have,True,True,False,5,114
.,.,PUNCT,punct,reply,False,False,False,5,115
“,"""",PUNCT,punct,return,False,False,True,6,116
But,but,CCONJ,cc,be,True,True,True,6,117
it,it,PRON,nsubj,be,True,True,True,6,118
is,be,AUX,ccomp,return,True,True,True,6,119
",",",",PUNCT,punct,return,False,False,True,6,120
”,"""",PUNCT,punct,return,False,False,True,6,121
returned,return,VERB,ccomp,be,False,True,False,6,122
she,she,PRON,nsubj,return,True,True,False,6,123
;,;,PUNCT,punct,be,False,False,False,6,124
“,"""",PUNCT,punct,be,False,False,True,6,125
for,for,SCONJ,mark,be,True,True,True,6,126
Mrs.,mrs.,PROPN,compound,long,False,False,True,6,127
Long,long,PROPN,nsubj,be,False,True,True,6,128
has,have,AUX,aux,be,True,True,True,6,129
just,just,ADV,advmod,be,True,True,True,6,130
been,be,AUX,ROOT,be,True,True,True,6,131
here,here,ADV,advmod,be,True,True,True,6,132
",",",",PUNCT,punct,be,False,False,True,6,133
and,and,CCONJ,cc,be,True,True,True,6,134
she,she,PRON,nsubj,tell,True,True,True,6,135
told,tell,VERB,conj,be,False,True,True,6,136
me,i,PRON,dative,tell,True,True,True,6,137
all,all,ADV,advmod,about,True,True,True,6,138
about,about,ADP,prep,tell,True,True,True,6,139
it,it,PRON,pobj,about,True,True,True,6,140
.,.,PUNCT,punct,be,False,False,True,6,141
”,"""",PUNCT,punct,be,False,False,True,6,142
Mr.,mr.,PROPN,compound,bennet,False,False,False,7,143
Bennet,bennet,PROPN,nsubj,make,False,True,False,7,144
made,make,VERB,ROOT,make,True,True,False,7,145
no,no,DET,det,answer,True,True,False,7,146
answer,answer,NOUN,dobj,make,False,True,False,7,147
.,.,PUNCT,punct,make,False,False,False,7,148
“,"""",PUNCT,punct,cry,False,False,True,8,149
Do,do,AUX,aux,want,True,True,True,8,150
not,not,PART,neg,want,True,True,True,8,151
you,you,PRON,nsubj,want,True,True,True,8,152
want,want,VERB,ccomp,cry,False,True,True,8,153
to,to,PART,aux,know,True,True,True,8,154
know,know,VERB,xcomp,want,False,True,True,8,155
who,who,PRON,nsubj,take,True,True,True,8,156
has,have,AUX,aux,take,True,True,True,8,157
taken,take,VERB,ccomp,know,False,True,True,8,158
it,it,PRON,dobj,take,True,True,True,8,159
?,?,PUNCT,punct,cry,False,False,True,8,160
”,"""",PUNCT,punct,cry,False,False,True,8,161
cried,cry,VERB,ROOT,cry,False,True,False,8,162
his,his,PRON,poss,wife,True,True,False,8,163
wife,wife,NOUN,nsubj,cry,False,True,False,8,164
",",",",PUNCT,punct,cry,False,False,False,8,165
impatiently,impatiently,ADV,advmod,cry,False,True,False,8,166
.,.,PUNCT,punct,cry,False,False,False,8,167
“,"""",PUNCT,punct,want,False,False,True,9,168
_,_,PUNCT,punct,want,False,False,True,9,169
You,you,PRON,nsubj,want,True,True,True,9,170
_,_,PUNCT,punct,want,False,False,True,9,171
want,want,VERB,ROOT,want,False,True,True,9,172
to,to,PART,aux,tell,True,True,True,9,173
tell,tell,VERB,xcomp,want,False,True,True,9,174
me,i,PRON,dobj,tell,True,True,True,9,175
",",",",PUNCT,punct,want,False,False,True,9,176
and,and,CCONJ,cc,want,True,True,True,9,177
I,i,PRON,nsubj,have,True,True,True,9,178
have,have,VERB,conj,want,True,True,True,9,179
no,no,DET,det,objection,True,True,True,9,180
objection,objection,NOUN,dobj,have,False,True,True,9,181
to,to,ADP,prep,objection,True,True,True,9,182
hearing,hear,VERB,pcomp,to,False,True,True,9,183
it,it,PRON,dobj,hear,True,True,True,9,184
.,.,PUNCT,punct,have,False,False,True,9,185
”,"""",PUNCT,punct,have,False,False,True,9,186
[,[,PUNCT,ROOT,[,False,False,False,10,187
Illustration,illustration,NOUN,prep,[,False,True,False,10,188
:,:,PUNCT,punct,illustration,False,False,False,10,189
“,"""",PUNCT,punct,illustration,False,False,True,10,190
He,he,PRON,nsubj,come,True,True,True,10,191
came,come,VERB,appos,illustration,False,True,True,10,192
down,down,ADV,advmod,come,True,True,True,10,193
to,to,PART,aux,see,True,True,True,10,194
see,see,VERB,advcl,come,True,True,True,10,195
the,the,DET,det,place,True,True,True,10,196
place,place,NOUN,dobj,see,False,True,True,10,197
”,"""",PUNCT,punct,illustration,False,False,True,10,198
[,[,PUNCT,punct,copyright,False,False,False,10,199
_,_,PUNCT,punct,copyright,False,False,False,10,200
Copyright,copyright,NOUN,appos,illustration,False,True,False,10,201
1894,1894,NUM,npadvmod,copyright,False,False,False,10,202
by,by,ADP,agent,copyright,True,True,False,10,203
George,george,PROPN,compound,allen,False,True,False,10,204
Allen,allen,PROPN,pobj,by,False,True,False,10,205
.,.,PUNCT,punct,copyright,False,False,False,10,206
_,_,PUNCT,ROOT,_,False,False,False,11,207
],],X,ROOT,],False,False,False,12,208
],],X,ROOT,],False,False,False,13,209
This,this,PRON,nsubj,be,True,True,False,14,210
was,be,AUX,ROOT,be,True,True,False,14,211
invitation,invitation,NOUN,attr,be,False,True,False,14,212
enough,enough,ADJ,amod,invitation,True,True,False,14,213
.,.,PUNCT,punct,be,False,False,False,14,214
“,"""",PUNCT,punct,say,False,False,True,15,215
Why,why,SCONJ,advmod,say,True,True,True,15,216
",",",",PUNCT,punct,say,False,False,True,15,217
my,my,PRON,poss,dear,True,True,True,15,218
dear,dear,NOUN,npadvmod,say,False,True,True,15,219
",",",",PUNCT,punct,know,False,False,True,15,220
you,you,PRON,nsubj,know,True,True,True,15,221
must,must,AUX,aux,know,True,True,True,15,222
know,know,VERB,parataxis,say,False,True,True,15,223
",",",",PUNCT,punct,know,False,False,True,15,224
Mrs.,mrs.,PROPN,compound,long,False,False,True,15,225
Long,long,PROPN,nsubj,say,False,True,True,15,226
says,say,VERB,ROOT,say,False,True,True,15,227
that,that,SCONJ,mark,take,True,True,True,15,228
Netherfield,netherfield,PROPN,nsubjpass,take,False,True,True,15,229
is,be,AUX,auxpass,take,True,True,True,15,230
taken,take,VERB,advcl,come,False,True,True,15,231
by,by,ADP,agent,take,True,True,True,15,232
a,a,DET,det,man,True,True,True,15,233
young,young,ADJ,amod,man,False,True,True,15,234
man,man,NOUN,pobj,by,False,True,True,15,235
of,of,ADP,prep,man,True,True,True,15,236
large,large,ADJ,amod,fortune,False,True,True,15,237
fortune,fortune,NOUN,pobj,of,False,True,True,15,238
from,from,ADP,prep,take,True,True,True,15,239
the,the,DET,det,north,True,True,True,15,240
north,north,NOUN,pobj,from,False,True,True,15,241
of,of,ADP,prep,north,True,True,True,15,242
England,england,PROPN,pobj,of,False,True,True,15,243
;,;,PUNCT,punct,come,False,False,True,15,244
that,that,SCONJ,mark,come,True,True,True,15,245
he,he,PRON,nsubj,come,True,True,True,15,246
came,come,VERB,advcl,say,False,True,True,15,247
down,down,ADV,advmod,come,True,True,True,15,248
on,on,ADP,prep,come,True,True,True,15,249
Monday,monday,PROPN,pobj,on,False,True,True,15,250
in,in,ADP,prep,come,True,True,True,15,251
a,a,DET,det,chaise,True,True,True,15,252
chaise,chaise,NOUN,pobj,in,False,True,True,15,253
and,and,CCONJ,cc,chaise,True,True,True,15,254
four,four,NUM,conj,chaise,True,True,True,15,255
to,to,PART,aux,see,True,True,True,15,256
see,see,VERB,advcl,come,True,True,True,15,257
the,the,DET,det,place,True,True,True,15,258
place,place,NOUN,dobj,see,False,True,True,15,259
",",",",PUNCT,punct,come,False,False,True,15,260
and,and,CCONJ,cc,come,True,True,True,15,261
was,be,AUX,conj,come,True,True,True,15,262
so,so,ADV,advmod,much,True,True,True,15,263
much,much,ADV,advmod,delighted,True,True,True,15,264
delighted,delighted,ADJ,acomp,be,False,True,True,15,265
with,with,ADP,prep,delighted,True,True,True,15,266
it,it,PRON,pobj,with,True,True,True,15,267
that,that,SCONJ,mark,agree,True,True,True,15,268
he,he,PRON,nsubj,agree,True,True,True,15,269
agreed,agree,VERB,ccomp,delighted,False,True,True,15,270
with,with,ADP,prep,agree,True,True,True,15,271
Mr.,mr.,PROPN,compound,morris,False,False,True,15,272
Morris,morris,PROPN,pobj,with,False,True,True,15,273
immediately,immediately,ADV,advmod,agree,False,True,True,15,274
;,;,PUNCT,punct,be,False,False,True,15,275
that,that,SCONJ,mark,be,True,True,True,15,276
he,he,PRON,nsubj,be,True,True,True,15,277
is,be,AUX,advcl,say,True,True,True,15,278
to,to,PART,aux,take,True,True,True,15,279
take,take,VERB,xcomp,be,True,True,True,15,280
possession,possession,NOUN,dobj,take,False,True,True,15,281
before,before,ADP,prep,take,True,True,True,15,282
Michaelmas,michaelmas,PROPN,pobj,before,False,True,True,15,283
",",",",PUNCT,punct,be,False,False,True,15,284
and,and,CCONJ,cc,be,True,True,True,15,285
some,some,PRON,nsubj,be,True,True,True,15,286
of,of,ADP,prep,some,True,True,True,15,287
his,his,PRON,poss,servant,True,True,True,15,288
servants,servant,NOUN,pobj,of,False,True,True,15,289
are,be,AUX,conj,be,True,True,True,15,290
to,to,PART,aux,be,True,True,True,15,291
be,be,AUX,xcomp,be,True,True,True,15,292
in,in,ADP,prep,be,True,True,True,15,293
the,the,DET,det,house,True,True,True,15,294
house,house,NOUN,pobj,in,False,True,True,15,295
by,by,ADP,prep,be,True,True,True,15,296
the,the,DET,det,end,True,True,True,15,297
end,end,NOUN,pobj,by,False,True,True,15,298
of,of,ADP,prep,end,True,True,True,15,299
next,next,ADJ,amod,week,True,True,True,15,300
week,week,NOUN,pobj,of,False,True,True,15,301
.,.,PUNCT,punct,be,False,False,True,15,302
”,"""",PUNCT,punct,say,False,False,True,15,303
“,"""",PUNCT,punct,be,False,False,True,16,304
What,what,PRON,attr,be,True,True,True,16,305
is,be,AUX,ROOT,be,True,True,True,16,306
his,his,PRON,poss,name,True,True,True,16,307
name,name,NOUN,nsubj,be,True,True,True,16,308
?,?,PUNCT,punct,be,False,False,True,16,309
”,"""",PUNCT,punct,be,False,False,True,16,310
“,"""",PUNCT,punct,bingley,False,False,True,17,311
Bingley,bingley,PROPN,ROOT,bingley,False,True,True,17,312
.,.,PUNCT,punct,bingley,False,False,True,17,313
”,"""",PUNCT,punct,bingley,False,False,True,17,314
“,"""",PUNCT,punct,be,False,False,True,18,315
Is,be,AUX,ROOT,be,True,True,True,18,316
he,he,PRON,nsubj,be,True,True,True,18,317
married,married,ADJ,acomp,be,False,True,True,18,318
or,or,CCONJ,cc,married,True,True,True,18,319
single,single,ADJ,conj,married,False,True,True,18,320
?,?,PUNCT,punct,be,False,False,True,18,321
”,"""",PUNCT,punct,be,False,False,True,18,322
“,"""",PUNCT,punct,single,False,False,True,19,323
Oh,oh,INTJ,intj,single,False,True,True,19,324
",",",",PUNCT,punct,single,False,False,True,19,325
single,single,ADJ,ROOT,single,False,True,True,19,326
",",",",PUNCT,punct,single,False,False,True,19,327
my,my,PRON,poss,dear,True,True,True,19,328
dear,dear,NOUN,npadvmod,single,False,True,True,19,329
",",",",PUNCT,punct,single,False,False,True,19,330
to,to,PART,aux,be,True,True,True,19,331
be,be,AUX,advcl,single,True,True,True,19,332
sure,sure,ADJ,acomp,be,False,True,True,19,333
!,!,PUNCT,punct,be,False,False,True,19,334
A,a,DET,det,man,True,True,True,20,335
single,single,ADJ,amod,man,False,True,True,20,336
man,man,NOUN,ROOT,man,False,True,True,20,337
of,of,ADP,prep,man,True,True,True,20,338
large,large,ADJ,amod,fortune,False,True,True,20,339
fortune,fortune,NOUN,pobj,of,False,True,True,20,340
;,;,PUNCT,punct,man,False,False,True,20,341
four,four,NUM,appos,man,True,True,True,20,342
or,or,CCONJ,cc,four,True,True,True,20,343
five,five,NUM,compound,thousand,True,True,True,20,344
thousand,thousand,NUM,conj,four,False,True,True,20,345
a,a,DET,det,year,True,True,True,20,346
year,year,NOUN,npadvmod,four,False,True,True,20,347
.,.,PUNCT,punct,man,False,False,True,20,348
What,what,PRON,det,thing,True,True,True,21,349
a,a,DET,det,thing,True,True,True,21,350
fine,fine,ADJ,amod,thing,False,True,True,21,351
thing,thing,NOUN,ROOT,thing,False,True,True,21,352
for,for,ADP,prep,thing,True,True,True,21,353
our,our,PRON,poss,girl,True,True,True,21,354
girls,girl,NOUN,pobj,for,False,True,True,21,355
!,!,PUNCT,punct,thing,False,False,True,21,356
”,"""",PUNCT,punct,thing,False,False,True,21,357
“,"""",PUNCT,punct,so,False,False,True,22,358
How,how,SCONJ,advmod,so,True,True,True,22,359
so,so,ADV,ROOT,so,True,True,True,22,360
?,?,PUNCT,punct,so,False,False,True,22,361
how,how,SCONJ,advmod,affect,True,True,True,23,362
can,can,AUX,aux,affect,True,True,True,23,363
it,it,PRON,nsubj,affect,True,True,True,23,364
affect,affect,VERB,ROOT,affect,False,True,True,23,365
them,they,PRON,dobj,affect,True,True,True,23,366
?,?,PUNCT,punct,affect,False,False,True,23,367
”,"""",PUNCT,punct,affect,False,False,True,23,368
“,"""",PUNCT,punct,be,False,False,True,24,369
My,my,PRON,poss,bennet,True,True,True,24,370
dear,dear,ADJ,amod,bennet,False,True,True,24,371
Mr.,mr.,PROPN,compound,bennet,False,False,True,24,372
Bennet,bennet,PROPN,npadvmod,be,False,True,True,24,373
",",",",PUNCT,punct,be,False,False,True,24,374
”,"""",PUNCT,punct,be,False,False,True,24,375
replied,reply,VERB,parataxis,be,False,True,False,24,376
his,his,PRON,poss,wife,True,True,False,24,377
wife,wife,NOUN,nsubj,reply,False,True,False,24,378
",",",",PUNCT,punct,reply,False,False,False,24,379
“,"""",PUNCT,punct,be,False,False,True,24,380
how,how,SCONJ,advmod,be,True,True,True,24,381
can,can,AUX,aux,be,True,True,True,24,382
you,you,PRON,nsubj,be,True,True,True,24,383
be,be,AUX,ROOT,be,True,True,True,24,384
so,so,ADV,advmod,tiresome,True,True,True,24,385
tiresome,tiresome,ADJ,acomp,be,False,True,True,24,386
?,?,PUNCT,punct,be,False,False,True,24,387
You,you,PRON,nsubj,know,True,True,True,25,388
must,must,AUX,aux,know,True,True,True,25,389
know,know,VERB,ROOT,know,False,True,True,25,390
that,that,SCONJ,mark,think,True,True,True,25,391
I,i,PRON,nsubj,think,True,True,True,25,392
am,be,AUX,aux,think,True,True,True,25,393
thinking,think,VERB,ccomp,know,False,True,True,25,394
of,of,ADP,prep,think,True,True,True,25,395
his,his,PRON,nsubj,marry,True,True,True,25,396
marrying,marry,VERB,pcomp,of,False,True,True,25,397
one,one,NUM,dobj,marry,True,True,True,25,398
of,of,ADP,prep,one,True,True,True,25,399
them,they,PRON,pobj,of,True,True,True,25,400
.,.,PUNCT,punct,know,False,False,True,25,401
”,"""",PUNCT,punct,know,False,False,True,25,402
“,"""",PUNCT,punct,be,False,False,True,26,403
Is,be,AUX,ROOT,be,True,True,True,26,404
that,that,PRON,nsubj,be,True,True,True,26,405
his,his,PRON,poss,design,True,True,True,26,406
design,design,NOUN,attr,be,False,True,True,26,407
in,in,ADP,prep,design,True,True,True,26,408
settling,settle,VERB,pcomp,in,False,True,True,26,409
here,here,ADV,advmod,settle,True,True,True,26,410
?,?,PUNCT,punct,be,False,False,True,26,411
”,"""",PUNCT,punct,be,False,False,True,26,412
“,"""",PUNCT,punct,design,False,False,True,27,413
Design,design,NOUN,ROOT,design,False,True,True,27,414
?,?,PUNCT,punct,design,False,False,True,27,415
Nonsense,nonsense,NOUN,dep,talk,False,True,True,28,416
",",",",PUNCT,punct,talk,False,False,True,28,417
how,how,SCONJ,advmod,talk,True,True,True,28,418
can,can,AUX,aux,talk,True,True,True,28,419
you,you,PRON,nsubj,talk,True,True,True,28,420
talk,talk,VERB,ROOT,talk,False,True,True,28,421
so,so,ADV,advmod,talk,True,True,True,28,422
!,!,PUNCT,punct,talk,False,False,True,28,423
But,but,CCONJ,cc,be,True,True,True,29,424
it,it,PRON,nsubj,be,True,True,True,29,425
is,be,AUX,ROOT,be,True,True,True,29,426
very,very,ADV,advmod,likely,True,True,True,29,427
likely,likely,ADJ,acomp,be,False,True,True,29,428
that,that,SCONJ,mark,fall,True,True,True,29,429
he,he,PRON,nsubj,fall,True,True,True,29,430
_,_,PUNCT,punct,fall,False,False,True,29,431
may,may,AUX,aux,fall,True,True,True,29,432
_,_,PUNCT,punct,fall,False,False,True,29,433
fall,fall,VERB,ccomp,be,False,True,True,29,434
in,in,ADP,prep,fall,True,True,True,29,435
love,love,NOUN,pobj,in,False,True,True,29,436
with,with,ADP,prep,fall,True,True,True,29,437
one,one,NUM,pobj,with,True,True,True,29,438
of,of,ADP,prep,one,True,True,True,29,439
them,they,PRON,pobj,of,True,True,True,29,440
",",",",PUNCT,punct,be,False,False,True,29,441
and,and,CCONJ,cc,be,True,True,True,29,442
therefore,therefore,ADV,advmod,visit,True,True,True,29,443
you,you,PRON,nsubj,visit,True,True,True,29,444
must,must,AUX,aux,visit,True,True,True,29,445
visit,visit,VERB,conj,be,False,True,True,29,446
him,he,PRON,dobj,visit,True,True,True,29,447
as,as,ADV,advmod,soon,True,True,True,29,448
soon,soon,ADV,advmod,visit,False,True,True,29,449
as,as,SCONJ,mark,come,True,True,True,29,450
he,he,PRON,nsubj,come,True,True,True,29,451
comes,come,VERB,advcl,soon,False,True,True,29,452
.,.,PUNCT,punct,visit,False,False,True,29,453
”,"""",PUNCT,punct,visit,False,False,True,29,454
“,"""",PUNCT,punct,see,False,False,True,30,455
I,i,PRON,nsubj,see,True,True,True,30,456
see,see,VERB,ROOT,see,True,True,True,30,457
no,no,DET,det,occasion,True,True,True,30,458
occasion,occasion,NOUN,dobj,see,False,True,True,30,459
for,for,ADP,prep,occasion,True,True,True,30,460
that,that,PRON,pobj,for,True,True,True,30,461
.,.,PUNCT,punct,see,False,False,True,30,462
You,you,PRON,nsubj,go,True,True,True,31,463
and,and,CCONJ,cc,you,True,True,True,31,464
the,the,DET,det,girl,True,True,True,31,465
girls,girl,NOUN,conj,you,False,True,True,31,466
may,may,AUX,aux,go,True,True,True,31,467
go,go,VERB,ccomp,like,True,True,True,31,468
--,--,PUNCT,punct,go,False,False,True,31,469
or,or,CCONJ,cc,go,True,True,True,31,470
you,you,PRON,nsubj,send,True,True,True,31,471
may,may,AUX,aux,send,True,True,True,31,472
send,send,VERB,conj,go,False,True,True,31,473
them,they,PRON,dobj,send,True,True,True,31,474
by,by,ADP,prep,send,True,True,True,31,475
themselves,themselves,PRON,pobj,by,True,True,True,31,476
",",",",PUNCT,punct,send,False,False,True,31,477
which,which,PRON,nsubj,be,True,True,True,31,478
perhaps,perhaps,ADV,advmod,be,True,True,True,31,479
will,will,AUX,aux,be,True,True,True,31,480
be,be,AUX,advcl,send,True,True,True,31,481
still,still,ADV,advmod,well,True,True,True,31,482
better,well,ADJ,acomp,be,False,True,True,31,483
;,;,PUNCT,punct,like,False,False,True,31,484
for,for,CCONJ,cc,like,True,True,True,31,485
as,as,SCONJ,mark,be,True,True,True,31,486
you,you,PRON,nsubj,be,True,True,True,31,487
are,be,AUX,advcl,like,True,True,True,31,488
as,as,ADV,advmod,handsome,True,True,True,31,489
handsome,handsome,ADJ,acomp,be,False,True,True,31,490
as,as,ADP,prep,handsome,True,True,True,31,491
any,any,PRON,pobj,as,True,True,True,31,492
of,of,ADP,prep,any,True,True,True,31,493
them,they,PRON,pobj,of,True,True,True,31,494
",",",",PUNCT,punct,like,False,False,True,31,495
Mr.,mr.,PROPN,compound,bingley,False,False,True,31,496
Bingley,bingley,PROPN,nsubj,like,False,True,True,31,497
might,might,AUX,aux,like,True,True,True,31,498
like,like,VERB,ROOT,like,False,True,True,31,499
you,you,PRON,dobj,like,True,True,True,31,500
the,the,DET,det,good,True,True,True,31,501
best,good,ADJ,ccomp,like,False,True,True,31,502
of,of,ADP,prep,good,True,True,True,31,503
the,the,DET,det,party,True,True,True,31,504
party,party,NOUN,pobj,of,False,True,True,31,505
.,.,PUNCT,punct,like,False,False,True,31,506
”,"""",PUNCT,punct,like,False,False,True,31,507
“,"""",PUNCT,punct,flatter,False,False,True,32,508
My,my,PRON,poss,dear,True,True,True,32,509
dear,dear,NOUN,npadvmod,flatter,False,True,True,32,510
",",",",PUNCT,punct,flatter,False,False,True,32,511
you,you,PRON,nsubj,flatter,True,True,True,32,512
flatter,flatter,VERB,ROOT,flatter,False,True,True,32,513
me,i,PRON,dobj,flatter,True,True,True,32,514
.,.,PUNCT,punct,flatter,False,False,True,32,515
I,i,PRON,nsubj,have,True,True,True,33,516
certainly,certainly,ADV,advmod,have,False,True,True,33,517
_,_,PUNCT,punct,have,False,False,True,33,518
have,have,AUX,aux,have,True,True,True,33,519
_,_,PUNCT,punct,have,False,False,True,33,520
had,have,VERB,ROOT,have,True,True,True,33,521
my,my,PRON,poss,share,True,True,True,33,522
share,share,NOUN,dobj,have,False,True,True,33,523
of,of,ADP,prep,share,True,True,True,33,524
beauty,beauty,NOUN,pobj,of,False,True,True,33,525
",",",",PUNCT,punct,have,False,False,True,33,526
but,but,CCONJ,cc,have,True,True,True,33,527
I,i,PRON,nsubj,pretend,True,True,True,33,528
do,do,AUX,aux,pretend,True,True,True,33,529
not,not,PART,neg,pretend,True,True,True,33,530
pretend,pretend,VERB,conj,have,False,True,True,33,531
to,to,PART,aux,be,True,True,True,33,532
be,be,AUX,xcomp,pretend,True,True,True,33,533
anything,anything,PRON,attr,be,True,True,True,33,534
extraordinary,extraordinary,ADJ,amod,anything,False,True,True,33,535
now,now,ADV,advmod,be,True,True,True,33,536
.,.,PUNCT,punct,pretend,False,False,True,33,537
When,when,SCONJ,advmod,have,True,True,True,34,538
a,a,DET,det,woman,True,True,True,34,539
woman,woman,NOUN,nsubj,have,False,True,True,34,540
has,have,VERB,advcl,ought,True,True,True,34,541
five,five,NUM,nummod,daughter,True,True,True,34,542
grown,grow,VERB,amod,daughter,False,True,True,34,543
